"Name","Code","Count"
"Acadian Flycatcher","ACFL",849
"Alder Flycatcher","ALFL",1514
"American Avocet","AMAV",1178
"American Bittern","AMBI",773
"American Coot","AMCO",899
"American Crow","AMCR",3518
"American Golden-Plover","AMGP",986
"American Goldfinch","AGOL",2083
"American Goshawk","AGOS",1180
"American Kestrel","AMKE",844
"American Pipit","AMPI",776
"American Redstart","AMRE",1494
"American Robin","AMRO",3340
"American Three-toed Woodpecker","ATTW",1154
"American Tree Sparrow","ATSP",1582
"American Wigeon","AMWI",753
"American Woodcock","AMWO",1446
"Anna's Hummingbird","ANHU",1611
"Arctic Tern","ARTE",1138
"Baird's Sandpiper","BASA",959
"Baird's Sparrow","BAIS",802
"Bald Eagle","BAEA",1708
"Baltimore Oriole","BAOR",1451
"Bank Swallow","BANS",651
"Barn Owl","BANO",637
"Barn Swallow","BARS",1087
"Barred Owl","BADO",948
"Bay-breasted Warbler","BBWA",740
"Bell's Vireo","BEVI",1228
"Belted Kingfisher","BEKI",680
"Bewick's Wren","BEWR",3184
"Black Tern","BLTE",1298
"Black-and-white Warbler","BAWW",1480
"Black-backed Woodpecker","BBWO",1225
"Black-bellied Plover","BBPL",1330
"Black-billed Cuckoo","BBCU",780
"Black-billed Magpie","BBMA",823
"Black-capped Chickadee","BCCH",3264
"Black-crowned Night Heron","BCNH",490
"Black-headed Grosbeak","BHGR",2439
"Black-throated Blue Warbler","BTBW",1031
"Black-throated Gray Warbler","BTGW",954
"Black-throated Green Warbler","BTNW",1316
"Blackburnian Warbler","BLBW",847
"Blackpoll Warbler","BLPW",944
"Blue Jay","BLJA",2136
"Blue-gray Gnatcatcher","BGGN",1732
"Blue-headed Vireo","BHVI",1644
"Blue-winged Teal","BWTE",840
"Blue-winged Warbler","BWWA",798
"Bobolink","BOBO",1315
"Bohemian Waxwing","BOWA",1110
"Bonaparte's Gull","BOGU",788
"Boreal Chickadee","BOCH",2499
"Boreal Owl","BOOW",1116
"Brant","BRAN",1554
"Brewer's Blackbird","BRBL",1567
"Brewer's Sparrow","BRSP",1590
"Broad-winged Hawk","BWHA",843
"Brown Creeper","BRCR",1976
"Brown Thrasher","BRTH",2358
"Brown-headed Cowbird","BHCO",1644
"Bufflehead","BUFF",520
"California Gull","CAGU",4025
"California Quail","CAQU",1439
"Canada Goose","CANG",1508
"Canada Jay","CAJA",839
"Canada Warbler","CAWA",1197
"Cape May Warbler","CMWA",706
"Carolina Wren","CARW",2099
"Caspian Tern","CATE",850
"Cassin's Vireo","CAVI",1800
"Cedar Waxwing","CEDW",1237
"Cerulean Warbler","CERW",976
"Chestnut-backed Chickadee","CBCH",2478
"Chestnut-collared Longspur","CCLO",1019
"Chestnut-sided Warbler","CSWA",1038
"Chimney Swift","CHSW",705
"Chipping Sparrow","CHSP",1433
"Chuck-will's-widow","CWWI",656
"Clark's Nutcracker","CLNU",889
"Clay-colored Sparrow","CCSP",1169
