recording,species,start_time,end_time
384583,BADO,2.31,4.99
384646,BADO,6.52,8.69
384646,BADO,33.1,35.65
384646,BADO,51.4,55.6
384670,BADO,3.1,8.1
384670,BADO,3.61,8.19
384670,BADO,24.95,29.0
384670,BADO,45.8,50.4
435723,BADO,33.43,36.46
435726,BADO,18.44,21.2
435726,BADO,55.49,58.87
435755,BADO,30.54,33.38
435755,BADO,40.66,45.7
435755,BADO,55.69,58.57
435856,BADO,11.38,14.86
435857,BADO,8.96,12.45
435860,BADO,13.41,14.87
435860,BADO,41.1,42.96
435864,BADO,0.0,3.0
435864,BADO,28.56,30.72
435865,BADO,6.94,10.27
435865,BADO,37.48,40.46
435867,BADO,13.16,15.67
435873,BADO,0.04,2.53
435873,BADO,17.11,19.74
435875,BADO,14.41,17.02
435875,BADO,56.25,59.4
435883,BADO,31.31,34.77
435883,BADO,50.0,53.0
435902,BADO,47.98,50.54
435920,BADO,0.05,2.93
435946,BADO,46.05,49.29
435958,BADO,29.1,32.29
435964,BADO,15.76,19.41
436006,BADO,13.98,18.47
436006,BADO,32.68,38.04
436006,BADO,58.39,59.99
436024,BADO,32.6,36.45
436024,BADO,57.84,59.99
436034,BADO,0.08,6.37
436034,BADO,50.08,56.28
436211,BADO,17.6,20.9
436313,BADO,50.7,53.33
436403,BADO,6.23,9.69
436403,BADO,12.21,14.17
436403,BADO,26.53,29.11
436403,BADO,30.15,33.65
436475,BADO,5.41,7.26
436475,BADO,10.53,13.58
436475,BADO,17.89,19.48
436475,BADO,27.64,28.29
436475,BADO,31.55,32.29
436475,BADO,35.84,38.85
436475,BADO,41.75,45.16
436475,BADO,47.49,50.25
436477,BADO,17.14,17.7
436481,BADO,57.61,58.64
436510,BADO,0.4,3.15
436510,BADO,7.19,10.08
436510,BADO,12.2,16.69
436510,BADO,54.29,55.43
436515,BADO,45.88,47.07
436519,BADO,35.89,40.4
436520,BADO,0.06,4.35
436520,BADO,14.18,15.97
436520,BADO,19.36,20.4
436520,BADO,30.0,31.0
436520,BADO,32.5,33.5
436520,BADO,46.0,48.0
436522,BADO,13.31,15.95
436522,BADO,58.41,59.99
436526,BADO,58.1,59.99
436540,BADO,6.71,8.72
436540,BADO,27.6,30.05
436540,BADO,42.03,44.02
436540,BADO,55.23,57.98
436553,BADO,4.0,7.0
436553,BADO,22.18,24.82
436553,BADO,43.16,44.04
436559,BADO,34.64,37.44
436559,BADO,43.13,45.09
436559,BADO,54.55,57.71
436560,BADO,4.66,7.79
436560,BADO,24.09,27.75
436560,BADO,45.25,48.59
436562,BADO,1.81,5.07
436562,BADO,20.59,23.82
436562,BADO,38.73,41.71
436562,BADO,59.14,59.83
436565,BADO,6.94,10.47
436565,BADO,17.38,22.74
436565,BADO,23.6,25.5
436569,BADO,48.88,49.48
436575,BADO,10.85,14.91
436575,BADO,16.24,18.19
436575,BADO,33.64,36.3
436588,BADO,0.04,2.17
436588,BADO,22.61,25.76
436588,BADO,38.59,41.98
436588,BADO,58.24,59.79
436590,BADO,19.45,21.54
436590,BADO,46.15,48.34
436621,BADO,18.3,21.03
436621,BADO,35.4,38.63
436622,BADO,48.48,50.22
