recording,species,start_time,end_time
177866,BTNW,10.2,11.4
177866,BTNW,29.04,30.45
177866,BTNW,41.59,42.95
177866,BTNW,53.25,54.7
177878,BTNW,1.93,3.33
177878,BTNW,3.49,4.85
177878,BTNW,7.56,9.07
177878,BTNW,13.64,14.99
177878,BTNW,14.45,15.93
177878,BTNW,22.53,24.03
177878,BTNW,28.41,30.24
177878,BTNW,36.79,38.3
177878,BTNW,43.26,44.77
177878,BTNW,49.55,51.25
177878,BTNW,54.71,56.26
177880,BTNW,0.7,1.6
177880,BTNW,9.24,10.43
177880,BTNW,18.53,19.64
177880,BTNW,43.25,44.45
177902,BTNW,0.2,1.49
177930,BTNW,2.23,3.64
177930,BTNW,13.53,14.94
177930,BTNW,24.14,25.64
177930,BTNW,35.94,37.37
177947,BTNW,1.66,2.71
177947,BTNW,15.19,16.45
177947,BTNW,29.84,31.1
177947,BTNW,55.39,56.65
177956,BTNW,7.48,9.17
177956,BTNW,43.83,45.33
177959,BTNW,18.5,20
177959,BTNW,51.15,52.79
177978,BTNW,34.4,35.5
178006,BTNW,0.16,1.5
178006,BTNW,7.4,8.86
178006,BTNW,16.33,17.92
178006,BTNW,26.51,27.89
178006,BTNW,37.49,39.14
178006,BTNW,47.54,49.22
178008,BTNW,30.48,32.12
178028,BTNW,6.75,8.78
178028,BTNW,21.3,23.34
178028,BTNW,41.79,43.79
178028,BTNW,54.6,56.49
178036,BTNW,8.79,10.68
178036,BTNW,32.09,33.57
178036,BTNW,43.9,45.69
178036,BTNW,55.9,57.34
178041,BTNW,0.66,2.12
178041,BTNW,8.13,9.61
178041,BTNW,16.94,18.55
178041,BTNW,26.09,27.75
178041,BTNW,34.16,35.71
178041,BTNW,42.55,44.24
178041,BTNW,50.66,52.45
178041,BTNW,59.08,60
178076,BTNW,10.65,12.24
178076,BTNW,17.26,18.62
178076,BTNW,30.24,31.35
178076,BTNW,39.13,40.96
178076,BTNW,50.54,51.75
178089,BTNW,4.38,5.86
178089,BTNW,11.11,12.72
178089,BTNW,18.58,20.28
178089,BTNW,24.76,26.67
178089,BTNW,35.76,37.34
178089,BTNW,53.59,55.32
178112,BTNW,9.81,10.81
178112,BTNW,27.61,28.71
178112,BTNW,45.89,46.98
178119,BTNW,11.61,13.26
178119,BTNW,22.26,23.7
178119,BTNW,32.06,33.75
178126,BTNW,18.01,19.42
178126,BTNW,26.01,27.24
178126,BTNW,33.75,35.25
178126,BTNW,54.98,56.42
178171,BTNW,2.38,3.54
178171,BTNW,8.66,9.95
178182,BTNW,37.59,38.98
178182,BTNW,56.93,58.17
178186,BTNW,0,1.08
178186,BTNW,9.29,10.85
178186,BTNW,17.56,19.11
178186,BTNW,26.73,28.62
178186,BTNW,36.53,38.08
178186,BTNW,45.75,47.26
178186,BTNW,55.13,56.61
178198,BTNW,3.33,4.57
178198,BTNW,13.28,14.56
178198,BTNW,22.79,24.17
178198,BTNW,33.81,35
178198,BTNW,43.9,45.34
178198,BTNW,54.95,56.23
178200,BTNW,9.7,11.49
178200,BTNW,20.78,22.56
178200,BTNW,31.19,33.05
178200,BTNW,42.48,44.42
178200,BTNW,55.14,56.77
178244,BTNW,4.58,6.04
178244,BTNW,17.2,18.65
178244,BTNW,33.05,34.63
178244,BTNW,46,47.59
178260,BTNW,0.05,0.89
178260,BTNW,8.51,9.92
178260,BTNW,18.76,20.36
178260,BTNW,29.29,30.83
178260,BTNW,41.3,42.89
178260,BTNW,52.55,54.05
178298,BTNW,7.85,9.46
178298,BTNW,18.29,19.85
178298,BTNW,30.15,31.94
178298,BTNW,43.44,45.02
178298,BTNW,55.88,57.56
178344,BTNW,23.79,24.95
178344,BTNW,31.64,32.85
178346,BTNW,4,5.73
178346,BTNW,13.56,15.27
178346,BTNW,22.93,24.58
178346,BTNW,29.69,31.52
178346,BTNW,37.51,39.27
178346,BTNW,45.44,47.17
178346,BTNW,52.39,54.04
178360,BTNW,17.61,19.12
178360,BTNW,31.09,32.44
178360,BTNW,44.64,46.04
178374,BTNW,19.3,20.31
178374,BTNW,41.68,43.18
178459,BTNW,3.11,4.82
178459,BTNW,8.91,10.75
178459,BTNW,15.98,17.66
178459,BTNW,23.88,25.64
178459,BTNW,30.16,31.97
178459,BTNW,42.59,44.27
178459,BTNW,49.55,51.13
178459,BTNW,55.35,57.29
178477,BTNW,7.45,8.74
178477,BTNW,16.21,17.54
178481,BTNW,6.69,7.8
178519,BTNW,0.54,2.2
178519,BTNW,9.49,11.38
178519,BTNW,24.75,26.74
178519,BTNW,34.09,35.99
178519,BTNW,43.76,45.76
178519,BTNW,52.98,54.74
178613,BTNW,24.65,26.08
178613,BTNW,40.3,42
178625,BTNW,1.93,3.04
178625,BTNW,19.36,20.97
178625,BTNW,31.05,32.66
178625,BTNW,40.4,42.2
178625,BTNW,50.81,52.86
178643,BTNW,4.79,6.3
178731,BTNW,8.55,9.99
178731,BTNW,18.11,19.41
178731,BTNW,28.16,29.56
178731,BTNW,38.53,39.91
178731,BTNW,49.7,51.04
178737,BTNW,0.08,3.41
178737,BTNW,2.28,3.94
178737,BTNW,11.94,13.65
178737,BTNW,20.16,21.91
178737,BTNW,29.95,31.64
178737,BTNW,39.24,40.69
178737,BTNW,50.63,52.36
178737,BTNW,58.96,59.99
178765,BTNW,39.01,40.09
251058,BTNW,28.39,29.85
251058,BTNW,46.64,47.82
251058,BTNW,52.69,54.49
251117,BTNW,25.34,27.27
251121,BTNW,10.73,12.42
251121,BTNW,56.59,58.64
251132,BTNW,9.79,11.45
251132,BTNW,13.44,14.75
251132,BTNW,20.01,21.64
251132,BTNW,37.79,39.39
251132,BTNW,51.79,53.8
251247,BTNW,33.5,34.6
251276,BTNW,1.09,2.34
251276,BTNW,11.83,12.84
251276,BTNW,21.33,22.28
251276,BTNW,38.81,39.67
251276,BTNW,47.19,48.24
251276,BTNW,56.2,57.28
251286,BTNW,9.13,10.26
251286,BTNW,23.09,24.48
251286,BTNW,34.95,36.15
251286,BTNW,46.84,47.72
251286,BTNW,58.76,59.94
251458,BTNW,6.98,8.43
251458,BTNW,25.69,27.22
251458,BTNW,34.68,36.19
251468,BTNW,0.88,2.06
251468,BTNW,38.49,40.13
251526,BTNW,2.73,4.18
251526,BTNW,15.21,16.7
251526,BTNW,29.79,31.47
251526,BTNW,45.38,47.13
251532,BTNW,6.69,8.49
251532,BTNW,18.78,20.59
251532,BTNW,33.88,35.54
251532,BTNW,47.04,48.52
255270,BTNW,8.06,9.3
255270,BTNW,13.15,14.45
255270,BTNW,24.49,26.19
255270,BTNW,30.55,31.76
255270,BTNW,48.19,49.57
255271,BTNW,1.03,2.74
255271,BTNW,7.34,8.87
255271,BTNW,13.29,15.28
255271,BTNW,20.04,21.63
255271,BTNW,27.88,29.31
255271,BTNW,33.78,35.43
255271,BTNW,39.88,41.54
255271,BTNW,46.24,47.52
255271,BTNW,52.13,54.03
255271,BTNW,58.89,59.97
255276,BTNW,6.14,7.6
255276,BTNW,12.98,14.32
255276,BTNW,21.04,22.58
255276,BTNW,29.45,30.99
255276,BTNW,35.99,37.73
255276,BTNW,43.05,44.75
255276,BTNW,50.33,51.81
255276,BTNW,56.04,57.33
255277,BTNW,8.46,9.79
255277,BTNW,18.44,20.53
255277,BTNW,26.48,28.14
255277,BTNW,36.14,37.75
255277,BTNW,46.74,48.38
255277,BTNW,55.59,57.08
255279,BTNW,5.6,7.65
255279,BTNW,15.09,17.39
255279,BTNW,24.95,26.75
255279,BTNW,35.35,37.31
255279,BTNW,45.01,46.87
255279,BTNW,55.86,57.82
255282,BTNW,14.54,16.14
255282,BTNW,28.95,30.6
255282,BTNW,43.64,45.29
255282,BTNW,57.55,59.24
255283,BTNW,55.9,57.1
255286,BTNW,0.29,1.99
255286,BTNW,11,13.04
255286,BTNW,22.49,24.59
255286,BTNW,34.45,36.24
255286,BTNW,46.38,48.03
255290,BTNW,9.24,10.79
255290,BTNW,31.44,33.09
255290,BTNW,39.9,41.24
255290,BTNW,50.25,52.24
255290,BTNW,59.1,59.95
255294,BTNW,44.21,45.14
255294,BTNW,58.79,59.84
255312,BTNW,2.81,4.49
255312,BTNW,11.95,13.74
255313,BTNW,1.35,3.09
255313,BTNW,11.79,13.53
255313,BTNW,25.94,28.03
255313,BTNW,34.49,36.14
255313,BTNW,42.44,43.74
255313,BTNW,50,51.38
255314,BTNW,6.89,8.42
255314,BTNW,21.56,23.14
255314,BTNW,29.51,31.32
255314,BTNW,42.04,43.84
255314,BTNW,53.08,55.04
255315,BTNW,9.06,10.79
255315,BTNW,21.84,23.17
255316,BTNW,8.89,10.49
255316,BTNW,49.5,51.18
255317,BTNW,17.06,18.76
255317,BTNW,31.51,33.24
255317,BTNW,40.5,42.33
255319,BTNW,50.8,52.54
255323,BTNW,6.95,8.5
255323,BTNW,17.64,19.4
255323,BTNW,27.09,28.89
255323,BTNW,36.04,37.54
255323,BTNW,44.96,46.24
255323,BTNW,54.9,56.24
255330,BTNW,35.01,36.57
255331,BTNW,7.61,9.19
255332,BTNW,2.73,4.23
255332,BTNW,11.01,12.97
255332,BTNW,23.99,25.6
255332,BTNW,36.35,38.43
255332,BTNW,49.58,51.14
255334,BTNW,6.75,8.65
255334,BTNW,30.94,32.83
255335,BTNW,11.95,13.29
255335,BTNW,44.36,45.89
255336,BTNW,19.98,21.54
255336,BTNW,32.64,34.57
255336,BTNW,44.71,46.57
255337,BTNW,17.09,18.44
255337,BTNW,26.49,28.12
255405,BTNW,26.04,27.58
255405,BTNW,41.29,42.79
255405,BTNW,55.09,56.29
260587,BTNW,6.99,8.43
260587,BTNW,18.14,19.59
260587,BTNW,40.39,42.24
260587,BTNW,50.24,52.04
260627,BTNW,21.86,24.01
260627,BTNW,39.48,41.42
260627,BTNW,51.49,53.43
260652,BTNW,19.74,21.5
260652,BTNW,26.6,28.44
260652,BTNW,35.44,37.04
260652,BTNW,53.43,55.17
260703,BTNW,12.6,13.76
260703,BTNW,20.93,22.16
260703,BTNW,30.49,31.83
260703,BTNW,38.96,40.37
260703,BTNW,48.05,49.48
260755,BTNW,7.29,9.14
260755,BTNW,15.75,17.65
260755,BTNW,32.08,34.04
260755,BTNW,39.84,41.89
260755,BTNW,48.38,50.29
260755,BTNW,51.51,53.07
260796,BTNW,3.24,5.04
260796,BTNW,15.5,17.11
260797,BTNW,0.85,2.18
260797,BTNW,12.51,13.85
260797,BTNW,22.24,23.82
260797,BTNW,29.69,31.19
260797,BTNW,36.48,37.86
260797,BTNW,49.11,50.57
260797,BTNW,56.3,58.01
260801,BTNW,19.29,20.99
260801,BTNW,29.01,30.64
260888,BTNW,0.9,2.5
260888,BTNW,3.1,4.1
260888,BTNW,7.83,9.61
260888,BTNW,18.86,20.7
260888,BTNW,26.18,26.92
260888,BTNW,27.89,29.34
260888,BTNW,39.19,40.9
260888,BTNW,45.85,47.8
260888,BTNW,56.41,57.61
260910,BTNW,0.41,1.9
260910,BTNW,6.18,8.02
260910,BTNW,8.68,10.44
260910,BTNW,14.74,16.45
260910,BTNW,18.65,20.19
260910,BTNW,23.45,25.1
260910,BTNW,29.09,31.03
260910,BTNW,37.23,38.78
260910,BTNW,39.83,41.52
260910,BTNW,45.49,47.49
260910,BTNW,54.99,56.53
260910,BTNW,56.96,58.71
260911,BTNW,0.36,2.14
260911,BTNW,18.24,19.82
260911,BTNW,26.24,27.52
260911,BTNW,34.4,35.75
260911,BTNW,41.84,43.72
260911,BTNW,50.4,52.05
260912,BTNW,6.83,8.32
260912,BTNW,12.41,14.26
260912,BTNW,18.16,20.05
260912,BTNW,23.86,25.55
260912,BTNW,29.65,31.6
260912,BTNW,35.86,37.69
260912,BTNW,41.48,43.34
260912,BTNW,47.79,49.77
260912,BTNW,53.76,55.6
260912,BTNW,58.93,59.99
260913,BTNW,18.4,20.24
260913,BTNW,33.34,35.08
260913,BTNW,40.16,41.99
260931,BTNW,1.1,2.33
260931,BTNW,9.63,11.17
260931,BTNW,16.13,17.77
260931,BTNW,24.01,25.3
260931,BTNW,32.84,34.18
260931,BTNW,34.84,36.48
260931,BTNW,42.85,44.39
260931,BTNW,52.59,54.12
260945,BTNW,2.6,4.31
260945,BTNW,13,14.36
260945,BTNW,19.95,21.66
260945,BTNW,27.09,28.72
260945,BTNW,33.51,34.75
260945,BTNW,36.64,38.17
260945,BTNW,43.51,44.82
260945,BTNW,49.61,51.6
260945,BTNW,59.2,59.99
260948,BTNW,44.13,45.57
260962,BTNW,27.84,29.39
260962,BTNW,44.78,46.56
260962,BTNW,54.35,55.81
260972,BTNW,8.35,9.96
260972,BTNW,17.88,19.42
260972,BTNW,27.78,29.39
