recording,species,start_time,end_time
1054904,COYE,18.74,20.08
1054904,COYE,37.53,38.79
1054904,COYE,52.25,53.79
1055097,COYE,4.5,5.93
1055097,COYE,10.54,12.1
1055097,COYE,14.5,16.2
1055097,COYE,25.5,27.5
1055097,COYE,38,39.5
1055097,COYE,50.2,51.7
1055098,COYE,11.34,13.12
1055098,COYE,25.8,27.3
1055098,COYE,39.3,40.7
1055098,COYE,53.5,55.6
1055111,COYE,0.58,2.31
1066697,COYE,2.19,4.72
1066697,COYE,11.21,12.95
1066697,COYE,15.34,17.44
1066697,COYE,20.54,22.02
1066697,COYE,27.44,29.29
1066697,COYE,38.96,41.02
1066697,COYE,50.93,52.83
1066697,COYE,57.28,58.88
1066698,COYE,9.18,10.62
1066698,COYE,24.41,25.82
1066698,COYE,37.03,38.42
1066698,COYE,53.04,54.54
1066700,COYE,6.78,8.47
1066700,COYE,8.81,10.77
1066700,COYE,19.24,20.82
1066700,COYE,32.4,33.99
1066700,COYE,35.44,36.99
1066700,COYE,39.55,41.09
1066700,COYE,45.25,46.98
1066702,COYE,26.4,28.3
1066704,COYE,5.71,7.21
1066704,COYE,7.68,9.21
1066704,COYE,10.44,12.38
1066704,COYE,16.81,18.36
1066704,COYE,21.79,23.02
1066704,COYE,23.3,24.61
1066704,COYE,23.88,25.26
1066704,COYE,27.28,28.74
1066704,COYE,37.98,39.29
1066704,COYE,38.65,39.95
1066704,COYE,52.03,53.83
1066704,COYE,54.08,55.53
1066705,COYE,9.88,11.63
1066705,COYE,37.91,39.31
1066705,COYE,47.58,49.29
1066705,COYE,57.98,59.49
1066706,COYE,40.69,42.29
1066706,COYE,59.4,60
1066707,COYE,1.99,3.6
1066707,COYE,13.34,14.83
1066707,COYE,25.53,27.27
1066707,COYE,50.85,52.14
1066708,COYE,7.19,8.85
1066708,COYE,19.25,20.94
1066708,COYE,31.39,32.94
1066708,COYE,45.14,46.8
1066708,COYE,57.49,59.14
1066711,COYE,4.18,6.18
1066711,COYE,16.04,17.52
1066711,COYE,39.68,40.98
1066711,COYE,51.41,52.9
1066712,COYE,58.9,60
1066714,COYE,3.11,5.51
1066714,COYE,12.44,14.18
1066714,COYE,20.19,22.15
1066714,COYE,29.01,30.51
1066714,COYE,35.1,37.23
1066714,COYE,45.45,47.08
1066714,COYE,47.13,49.48
1066714,COYE,54.39,55.89
1066714,COYE,55.55,57.08
1066715,COYE,14.53,15.77
1066715,COYE,23.66,25.12
1066715,COYE,28.9,30.68
1066715,COYE,30.11,31.61
1066715,COYE,32.79,34.18
1066715,COYE,43.4,44.96
1066715,COYE,45.28,47.09
1066715,COYE,50.49,52.22
1066715,COYE,55.45,57.5
1066726,COYE,4,5.85
1066726,COYE,14.96,16.47
1066726,COYE,37.95,39.54
1066732,COYE,1.54,3.62
1066732,COYE,4.18,5.68
1066732,COYE,12.48,14.82
1066732,COYE,16.3,17.55
1066732,COYE,18.74,20.35
1066732,COYE,23.2,25.29
1066732,COYE,33.21,34.61
1066732,COYE,34.16,35.69
1066732,COYE,44.66,46.76
1066732,COYE,48.71,50.21
1066732,COYE,51.26,52.69
1066732,COYE,56.1,57.98
1066733,COYE,40.43,41.91
1066733,COYE,56.68,57.94
1066738,COYE,11.99,13.32
1066738,COYE,49.04,50.53
1066739,COYE,27.51,28.92
1066745,COYE,0.1,1.51
1066745,COYE,8.88,10.54
1066745,COYE,12.53,14.11
1066745,COYE,27.39,29.18
1066745,COYE,36.61,38.04
1066745,COYE,44.93,46.48
1066745,COYE,53.8,55.53
1066747,COYE,8.16,9.9
1066747,COYE,9.93,11.49
1066747,COYE,17.59,19.33
1066747,COYE,23.43,25.17
1066747,COYE,24.36,25.92
1066747,COYE,35.74,37.39
1066747,COYE,39.33,40.77
1066747,COYE,45.93,47.98
1066747,COYE,58.33,60
1066748,COYE,0.35,2.21
1066748,COYE,14.76,16.35
1066748,COYE,29.68,31.32
1066748,COYE,43.01,44.91
1066750,COYE,4.88,6.83
1066750,COYE,16.28,18.26
1066750,COYE,28.44,30.3
1066750,COYE,38.94,40.74
1066750,COYE,49.6,51.7
1066751,COYE,44.93,46.19
1066753,COYE,7.36,9.22
1066753,COYE,17.84,19.65
1066753,COYE,19.99,21.74
1066753,COYE,27.9,29.35
1066753,COYE,30.54,31.83
1066753,COYE,37.71,39.15
1066753,COYE,42.28,43.93
1066753,COYE,47.56,49.1
1066753,COYE,53.14,55.3
1066753,COYE,57.43,59.11
1066754,COYE,15.8,17.2
1066754,COYE,35.28,36.94
1066754,COYE,47.28,48.71
1066755,COYE,2.91,4.84
1066755,COYE,14.25,16.16
1066755,COYE,24.18,25.93
1066755,COYE,36.51,38.3
1066755,COYE,46.48,48.39
1066755,COYE,56.45,58.49
1066756,COYE,47.58,49.09
1066762,COYE,20.43,22.22
1066762,COYE,47.14,48.59
1066762,COYE,53.34,54.95
1066763,COYE,15.03,16.84
1066763,COYE,27.38,28.96
1066763,COYE,58.74,60
1066764,COYE,3.44,5.12
1066764,COYE,15.99,17.53
1066764,COYE,57.9,59.3
1066765,COYE,0.05,1.48
1066765,COYE,6.03,7.48
1066765,COYE,11.23,12.73
1066765,COYE,16.43,18.03
1066765,COYE,22.44,23.98
1066765,COYE,30.74,32.85
1066765,COYE,34.03,35.77
1066765,COYE,44.73,46.83
1066765,COYE,47.59,49.42
1066765,COYE,55.53,57.54
1066766,COYE,1.95,4.06
1066766,COYE,5.91,7.62
1066766,COYE,7.29,8.9
1066766,COYE,11.8,13.4
1066766,COYE,15.01,17.19
1066766,COYE,19.73,21.36
1066766,COYE,23,24.63
1066766,COYE,25.63,27.22
1066766,COYE,27.89,29.88
1066766,COYE,31.78,33.83
1066766,COYE,35.61,36.79
1066766,COYE,37.44,39.03
1066766,COYE,39.68,41.23
1066766,COYE,40.83,41.97
1066766,COYE,41.43,43.06
1066766,COYE,44.49,46.14
1066766,COYE,50.29,51.74
1066766,COYE,54.86,56.09
1066766,COYE,58.18,60
1066767,COYE,14.01,15.7
1066767,COYE,27.49,28.77
1066767,COYE,37.86,39.37
1066767,COYE,49.11,50.52
1066768,COYE,20.08,22.04
1066768,COYE,36.03,37.89
1066769,COYE,19.48,21.17
1066770,COYE,6.73,8.31
1066770,COYE,45.78,47.31
1066771,COYE,9.29,11.08
1066771,COYE,20.58,22.34
1066771,COYE,33.06,34.72
1066771,COYE,46.84,48.42
1066773,COYE,28.6,30.04
1066774,COYE,3.84,6.18
1066774,COYE,15.68,16.97
