recording,species,start_time,end_time
199752,OVEN,8.26,10.86
199752,OVEN,24.95,27.5
199752,OVEN,40.74,44.37
199753,OVEN,13.61,16.5
199753,OVEN,38.93,41.42
199766,OVEN,1.15,2.64
199766,OVEN,33.64,35.47
199766,OVEN,48.94,50.94
199773,OVEN,25.06,28.7
199774,OVEN,35.73,38.13
199778,OVEN,0.04,1.22
199778,OVEN,16.54,17.68
199778,OVEN,19.06,21.2
199780,OVEN,53.34,55.95
199791,OVEN,5.21,8.7
199791,OVEN,21.39,24.45
199791,OVEN,37.3,40.24
199791,OVEN,54.99,57.63
199818,OVEN,28.0,30.76
199823,OVEN,3.0,5.21
199823,OVEN,5.69,8.64
199823,OVEN,25.4,27.66
199823,OVEN,33.13,36.99
199823,OVEN,48.21,52.11
199823,OVEN,56.33,59.99
199883,OVEN,22.26,24.47
199907,OVEN,50.81,53.59
199927,OVEN,13.34,15.57
199936,OVEN,21.91,24.31
199936,OVEN,42.03,44.83
199946,OVEN,4.09,6.08
199946,OVEN,6.29,8.17
199946,OVEN,11.21,13.3
199946,OVEN,22.26,24.56
199946,OVEN,24.76,26.77
199946,OVEN,30.51,32.94
199946,OVEN,41.38,43.18
199946,OVEN,43.05,45.66
199946,OVEN,48.33,51.18
199946,OVEN,57.63,59.52
199961,OVEN,18.8,20.44
199961,OVEN,23.95,25.23
199961,OVEN,36.75,38.5
199981,OVEN,5.64,7.94
199981,OVEN,19.9,21.1
199981,OVEN,33.15,35.95
199981,OVEN,49.96,51.9
200010,OVEN,16.94,18.63
200010,OVEN,33.24,37.77
200027,OVEN,47.34,48.89
200044,OVEN,8.88,11.07
200044,OVEN,36.16,38.36
200088,OVEN,1.75,3.69
200088,OVEN,10.03,11.99
200088,OVEN,15.96,18.24
200088,OVEN,37.04,39.77
200088,OVEN,50.9,52.85
200089,OVEN,0.26,1.92
200089,OVEN,4.69,6.93
200089,OVEN,14.56,17.11
200089,OVEN,24.53,27.56
200089,OVEN,29.36,31.77
200089,OVEN,45.99,48.62
200089,OVEN,52.6,55.56
200089,OVEN,57.89,59.88
200099,OVEN,0.33,3.39
200099,OVEN,4.23,7.13
200099,OVEN,15.95,18.86
200099,OVEN,21.46,24.06
200099,OVEN,36.66,39.09
200099,OVEN,40.5,42.7
200099,OVEN,49.11,51.5
200099,OVEN,57.79,59.99
200100,OVEN,1.28,4.66
200100,OVEN,21.23,23.98
200100,OVEN,42.11,45.42
200101,OVEN,7.05,8.49
200357,OVEN,37.21,39.75
200480,OVEN,17.34,19.5
200480,OVEN,40.16,42.3
200561,OVEN,15.09,17.04
200561,OVEN,30.73,32.33
200561,OVEN,32.19,33.95
200561,OVEN,37.24,39.62
200561,OVEN,48.45,50.74
200572,OVEN,43.78,45.32
200582,OVEN,1.13,3.79
200582,OVEN,21.31,23.14
200582,OVEN,37.38,39.16
200582,OVEN,43.36,45.54
200582,OVEN,55.45,56.54
200691,OVEN,25.96,27.95
200691,OVEN,54.78,56.89
200700,OVEN,5.71,10.16
200700,OVEN,16.31,18.55
200700,OVEN,34.16,38.01
200700,OVEN,45.31,47.37
200700,OVEN,49.85,52.16
200706,OVEN,0.04,1.29
200706,OVEN,0.89,2.97
200706,OVEN,12.25,13.48
200706,OVEN,13.74,16.09
200706,OVEN,15.79,18.5
200706,OVEN,27.56,30.14
200706,OVEN,30.49,34.72
200706,OVEN,40.11,43.01
200706,OVEN,48.06,51.05
200706,OVEN,51.63,53.29
200706,OVEN,54.13,56.51
200710,OVEN,0.05,1.66
200710,OVEN,10.21,12.24
200710,OVEN,11.91,13.96
200710,OVEN,19.68,22.96
200710,OVEN,23.11,25.54
200710,OVEN,32.48,35.38
200710,OVEN,41.21,42.74
200710,OVEN,43.66,46.99
200711,OVEN,33.08,35.33
200711,OVEN,44.79,46.57
200711,OVEN,56.85,59.03
200718,OVEN,0.03,1.41
200718,OVEN,5.98,7.23
200718,OVEN,14.45,15.83
200718,OVEN,16.28,18.49
200718,OVEN,21.64,23.15
200718,OVEN,22.76,25.55
200718,OVEN,26.4,27.89
200718,OVEN,30.88,32.56
200718,OVEN,35.55,37.53
200718,OVEN,39.46,41.37
200718,OVEN,44.23,46.46
200718,OVEN,48.59,51.74
200718,OVEN,53.2,54.54
200718,OVEN,54.76,56.14
200718,OVEN,56.68,57.86
200722,OVEN,3.0,4.39
200722,OVEN,47.53,49.08
200729,OVEN,0.9,3.36
200729,OVEN,6.08,7.68
200729,OVEN,17.01,18.4
200729,OVEN,28.86,31.99
200729,OVEN,41.73,43.89
200729,OVEN,55.8,58.44
200733,OVEN,9.18,11.04
200733,OVEN,56.45,58.13
200738,OVEN,2.78,5.71
200738,OVEN,11.33,13.17
200738,OVEN,14.53,16.08
200738,OVEN,26.78,29.06
200738,OVEN,42.64,45.04
200738,OVEN,48.24,50.28
200738,OVEN,56.8,58.79
200738,OVEN,59.66,59.95
200739,OVEN,0.05,1.44
200739,OVEN,8.73,11.42
200739,OVEN,20.73,23.57
200739,OVEN,24.45,26.59
200739,OVEN,42.09,44.74
200739,OVEN,44.88,47.12
200741,OVEN,8.35,10.24
200741,OVEN,24.93,26.53
200741,OVEN,41.5,43.04
200741,OVEN,59.3,59.93
200746,OVEN,1.86,3.97
200746,OVEN,11.41,14.15
