recording,species,start_time,end_time
514731,RUGR,6.55,16.25
514732,RUGR,10.95,19.85
514733,RUGR,10.25,20.65
514735,RUGR,27.7,37.1
514737,RUGR,24.6,36.25
514758,RUGR,20.8,26.3
514861,RUGR,25.25,39.25
514866,RUGR,16.7,24.95
514869,RUGR,41.85,56.4
514870,RUGR,0.05,19.15
514870,RUGR,25.35,39.2
514871,RUGR,4.1,11.4
514873,RUGR,18.8,39.15
514874,RUGR,22.4,34.2
514877,RUGR,34.3,46.25
514883,RUGR,26.05,39.2
514896,RUGR,27.75,32.3
514900,RUGR,16.55,23.35
514903,RUGR,3.65,15.75
514905,RUGR,0.6,8.75
514909,RUGR,0.1,6.1
514937,RUGR,24.4,31.45
514939,RUGR,5.3,15.65
514942,RUGR,8.15,23.25
514949,RUGR,22.65,35.85
514954,RUGR,26.4,33.75
514954,RUGR,40.65,48.85
514955,RUGR,29.8,42.4
514955,RUGR,52.45,59.75
514956,RUGR,12.45,24.25
514956,RUGR,53.3,59.95
514957,RUGR,16,17.5
514957,RUGR,17.5,21.65
514957,RUGR,21,25.5
514957,RUGR,55,60
514958,RUGR,0,6.1
514958,RUGR,30.05,35.95
514960,RUGR,3.6,9.55
514964,RUGR,11.65,23.55
514969,RUGR,8.7,17.35
514969,RUGR,21.85,29.3
514969,RUGR,31.45,38.45
514976,RUGR,7.7,17.35
514976,RUGR,53.9,59.9
514982,RUGR,13.65,19.45
514987,RUGR,5.1,11.7
514988,RUGR,36.9,46.5
514994,RUGR,4.2,12.1
514996,RUGR,7.75,15.65
514996,RUGR,28.15,37.2
514996,RUGR,42,49
514997,RUGR,2.2,12.8
515048,RUGR,19.25,27.25
515056,RUGR,13.7,27.95
515056,RUGR,28.1,34.2
515057,RUGR,24.6,34.85
515058,RUGR,16.7,24.55
515058,RUGR,44.95,52.6
515061,RUGR,2.45,13
515061,RUGR,41.75,53.15
515062,RUGR,38.45,46.65
515063,RUGR,25.9,37.3
515063,RUGR,39.1,48.1
515064,RUGR,42.5,50.85
515066,RUGR,55.5,59.9
515067,RUGR,4.65,14.35
515071,RUGR,2.95,11
515072,RUGR,1.35,7.55
515073,RUGR,22.9,32.15
515097,RUGR,39.5,45.3
515103,RUGR,21.9,28.95
515110,RUGR,16.65,26.45
515111,RUGR,3.7,11.5
515111,RUGR,42.3,50.35
515120,RUGR,31.25,42.45
515128,RUGR,24.05,35.25
515133,RUGR,12.3,20.7
515136,RUGR,23.4,29.15
515150,RUGR,37.65,42.65
515151,RUGR,8.25,20.15
515155,RUGR,40.6,45.95
515199,RUGR,34.1,40.05
515206,RUGR,10.55,16.75
515229,RUGR,3.85,10.5
515252,RUGR,8.85,15.6
515260,RUGR,26.65,34
515260,RUGR,37.55,47.2
515260,RUGR,47.55,53.35
515261,RUGR,16.3,27.2
515263,RUGR,42.95,50.85
515265,RUGR,14.15,25.35
515265,RUGR,55.65,59.9
515267,RUGR,14.1,20.2
515269,RUGR,49.25,55.95
515277,RUGR,8.9,17.15
515282,RUGR,25.85,37.1
515287,RUGR,37.4,46.65
515298,RUGR,48.15,58.95
515303,RUGR,15.35,23.3
515304,RUGR,46.15,54.85
515335,RUGR,39.1,47
515346,RUGR,5.3,13.4
515346,RUGR,15,21
515357,RUGR,47.05,55.75
515377,RUGR,9.9,19.25
515382,RUGR,2.45,10.55
515382,RUGR,52.5,57.85
515383,RUGR,35.7,43.2
515391,RUGR,0.2,3.75
515408,RUGR,4.3,15.15
515413,RUGR,0.2,8.3
515413,RUGR,16.8,27.85
515416,RUGR,14.15,23.4
515427,RUGR,24.95,35.5
515429,RUGR,16.8,32.9
515441,RUGR,42.5,52.95
515447,RUGR,0.5,6.2
515447,RUGR,52.8,59.95
515453,RUGR,28.95,39.1
515471,RUGR,28.3,32.8
515472,RUGR,37.9,48.95
515474,RUGR,12.95,22.85
515486,RUGR,41.15,49.9
515487,RUGR,44.15,52.25
515489,RUGR,30.65,37.9
515502,RUGR,11.5,19.1
515509,RUGR,15.65,23.6
515530,RUGR,27.7,34.1
515806,RUGR,38.05,49.65
515811,RUGR,53.05,59.85
515812,RUGR,6.05,17.25
515812,RUGR,47.25,57.1
515819,RUGR,2.45,12.45
515819,RUGR,53.8,59.45
515826,RUGR,42.85,47.25
515830,RUGR,22.8,28.5
515830,RUGR,45.25,53.05
515834,RUGR,26.7,35.65
515838,RUGR,23.88,33.23
515843,RUGR,23.9,31.85
515843,RUGR,41.65,46.75
515868,RUGR,41.42,46.9
515870,RUGR,45.15,51.95
515874,RUGR,7.4,14.55
515874,RUGR,41.6,52.1
515892,RUGR,0.35,8.8
515906,RUGR,3.75,14.25
515914,RUGR,47.65,54.05
515925,RUGR,0.2,10.75
515925,RUGR,35.6,45.05
515927,RUGR,32.25,41.45
515938,RUGR,47.05,54.5
516085,RUGR,22.1,29.8
516643,RUGR,29.3,38.05
516696,RUGR,18.6,29.85
516755,RUGR,0.05,7.7
516892,RUGR,35.35,43.95
516945,RUGR,5.65,15.85
516968,RUGR,8.05,18.1
516968,RUGR,36.6,48.25
516970,RUGR,37,46
516975,RUGR,0.1,5.65
516987,RUGR,51.55,59.15
516994,RUGR,46.95,58.95
517012,RUGR,6.15,12.35
517045,RUGR,51.1,59.55
517090,RUGR,44.45,53.4
517091,RUGR,6.7,19.4
517091,RUGR,30.6,38.5
517098,RUGR,0.2,10.8
517098,RUGR,47.25,59.8
517102,RUGR,24,34.2
517105,RUGR,10.7,20
517105,RUGR,44.95,56.7
517109,RUGR,13.3,27.7
517110,RUGR,52.8,59.9
517115,RUGR,13.5,21.45
517115,RUGR,28.9,39.35
517116,RUGR,10.7,21.55
517128,RUGR,5.4,16.15
517131,RUGR,45.25,51.75
517140,RUGR,39.1,49.9
517146,RUGR,37,47.75
517148,RUGR,0.25,9.75
517151,RUGR,17.1,27.7
517151,RUGR,51.5,58.5
517158,RUGR,24.55,33.6
517162,RUGR,24.05,37.35
517162,RUGR,58.4,59.95
517168,RUGR,23.65,36.6
517168,RUGR,47.4,58.95
517183,RUGR,2.05,13.55
517183,RUGR,36.65,48.5
517193,RUGR,50.05,59.7
517201,RUGR,53.75,59.85
517214,RUGR,10.8,18.85
517214,RUGR,44.5,55.8
517215,RUGR,0.25,4.05
517241,RUGR,7.55,20.85
