recording,species,start_time,end_time
61595,SWTH,7.04,8.5
246251,SWTH,0.7,2.15
246251,SWTH,7.96,9.31
246251,SWTH,12.63,13.86
246251,SWTH,19.9,21.24
246251,SWTH,25.28,26.77
246251,SWTH,34.5,36.36
246251,SWTH,39.75,41.38
246251,SWTH,44.7,46.58
246251,SWTH,49.78,51.21
246251,SWTH,57.54,58.9
246259,SWTH,10.2,12.04
246259,SWTH,24.21,25.47
246259,SWTH,38.59,40.24
246259,SWTH,52.49,54.32
246259,SWTH,58.73,59.98
246261,SWTH,1.43,3.56
246261,SWTH,5.2,6.41
246261,SWTH,9.06,11.1
246261,SWTH,28.88,30.98
246261,SWTH,36.05,37.79
246261,SWTH,42.64,44.38
246261,SWTH,45.33,47.12
246261,SWTH,54.09,56.2
246263,SWTH,9.43,11.67
246263,SWTH,21.2,23.25
246263,SWTH,32.75,34.35
246263,SWTH,41.85,43.6
246263,SWTH,53.99,55.98
246266,SWTH,7.54,8.29
246266,SWTH,21.4,22
246266,SWTH,27,27.93
246266,SWTH,33.45,34.25
246266,SWTH,40.91,41.6
246274,SWTH,4.65,5.54
246274,SWTH,9,9.91
246274,SWTH,23.14,23.85
246276,SWTH,21.29,21.9
246276,SWTH,36.35,37.11
246276,SWTH,43.2,43.84
246276,SWTH,48.19,48.72
246278,SWTH,2.84,4.04
246278,SWTH,4.69,5.62
246278,SWTH,9.59,10.5
246278,SWTH,10.6,11.53
246278,SWTH,12.89,14
246278,SWTH,13.68,14.63
246278,SWTH,16.81,18.04
246278,SWTH,22.31,23.27
246278,SWTH,23.76,24.62
246278,SWTH,28.21,28.97
246278,SWTH,38.61,39.77
246278,SWTH,41.08,41.92
246278,SWTH,44.25,45.28
246278,SWTH,45.08,46.08
246278,SWTH,47.96,48.87
246278,SWTH,51.81,52.84
246278,SWTH,53.83,54.89
246278,SWTH,58.84,59.92
246279,SWTH,6.85,8.15
246283,SWTH,9.48,10.81
246283,SWTH,31.91,33.56
246283,SWTH,47.03,47.98
246283,SWTH,52.21,53.32
246287,SWTH,5.95,7.28
246287,SWTH,8.69,10.04
246287,SWTH,11.44,12.74
246287,SWTH,17.03,18.36
246287,SWTH,18.41,19.9
246287,SWTH,22.2,23.55
246287,SWTH,32.85,34.23
246287,SWTH,54.7,55.94
246289,SWTH,1.99,3.49
