recording,species,start_time,end_time
218426,TEWA,5.09,7.34
218426,TEWA,9.96,12.3
218426,TEWA,16.61,18.75
218426,TEWA,23.94,25.79
218426,TEWA,28.5,30.2
218426,TEWA,33.65,36
218426,TEWA,40.14,42.05
218426,TEWA,46.46,48.54
218426,TEWA,54.14,56.1
364274,TEWA,2.95,4.84
364274,TEWA,5.04,7.15
364274,TEWA,10.99,12.9
364274,TEWA,13.83,15.73
364274,TEWA,18.63,20.73
364274,TEWA,22.88,24.78
364274,TEWA,25.5,27.7
364274,TEWA,30.63,32.26
364274,TEWA,33.15,35.25
364274,TEWA,39.99,42.2
364274,TEWA,46.61,48.74
364274,TEWA,48.63,50.82
364274,TEWA,53.58,55.13
364274,TEWA,57.81,59.65
364275,TEWA,3.51,5.49
364275,TEWA,7.74,9.92
364275,TEWA,11.39,13.5
364275,TEWA,14.54,16.83
364275,TEWA,18.5,20.79
364275,TEWA,21.28,23.11
364275,TEWA,26.35,28.48
364275,TEWA,27.7,29.71
364275,TEWA,34.08,35.94
364275,TEWA,40.6,42.63
364275,TEWA,47.28,49.56
364275,TEWA,55.79,57.82
364276,TEWA,0.95,3.06
364276,TEWA,8.75,10.94
364276,TEWA,16.98,19.23
364276,TEWA,23.89,26.23
364276,TEWA,32.19,34.33
364276,TEWA,39.66,41.82
364276,TEWA,48.13,50.48
364276,TEWA,56.39,58.48
364277,TEWA,0.04,1.42
364277,TEWA,5.41,9.09
364277,TEWA,13.7,16.08
364277,TEWA,18.65,23.69
364277,TEWA,26.05,29.85
364277,TEWA,32.85,37.11
364277,TEWA,40.63,44.33
364277,TEWA,48.18,51.52
364277,TEWA,55.91,59.2
366250,TEWA,7.14,9.5
366250,TEWA,16.09,18
366250,TEWA,25.69,28.05
366250,TEWA,34.09,36.27
366250,TEWA,42.81,45.02
366250,TEWA,52.85,55.14
721719,TEWA,0.03,2.14
721719,TEWA,3.59,7.4
721719,TEWA,9.55,12.99
721719,TEWA,13.09,16.69
721719,TEWA,20.43,23.88
721719,TEWA,24.91,28.62
721719,TEWA,29.08,32.68
721719,TEWA,33.98,36.62
721719,TEWA,39.49,43.32
721719,TEWA,51.14,54.07
721719,TEWA,54.11,57.5
721720,TEWA,0.04,2.72
721720,TEWA,2.94,6.64
721720,TEWA,6.81,9.82
721720,TEWA,14.69,17.83
721720,TEWA,18.18,21.51
721720,TEWA,26.06,28.42
721720,TEWA,32.64,36.65
721720,TEWA,42.05,45.49
721720,TEWA,47.78,50.57
721721,TEWA,3.31,7.32
721721,TEWA,10.43,14.07
721721,TEWA,24.08,27.84
721721,TEWA,29.96,33.01
721721,TEWA,37.86,41.07
721721,TEWA,45.34,48.74
721721,TEWA,52.69,56.18
721722,TEWA,10.23,12.82
721722,TEWA,15.2,18.41
721722,TEWA,28.39,32.27
721722,TEWA,34.56,38.5
721722,TEWA,49.25,52.86
721723,TEWA,0.03,2.69
721723,TEWA,10.15,13.39
721723,TEWA,20.38,23.31
721723,TEWA,30.78,33.72
721723,TEWA,51.4,54.51
721724,TEWA,6.93,10.19
721724,TEWA,15.94,18.82
721724,TEWA,25.45,28.79
721724,TEWA,34.71,37.92
721724,TEWA,45.06,48.07
721724,TEWA,53.26,57.01
721725,TEWA,12.33,15.41
721725,TEWA,24.06,26.92
721725,TEWA,31.9,35.06
721725,TEWA,49.83,52.91
721726,TEWA,2.91,5.99
721726,TEWA,9.61,13.05
721726,TEWA,17.15,20.76
721726,TEWA,25.46,28.66
721726,TEWA,33.39,36.27
721726,TEWA,41.36,44.46
721726,TEWA,48.78,51.84
721726,TEWA,58.04,59.98
721727,TEWA,2.39,5.6
