recording,species,start_time,end_time
218426,WTSP,22.4,25.41
218426,WTSP,45.91,49.86
364274,WTSP,3.35,7.04
364274,WTSP,14.26,17.39
364274,WTSP,14.59,17.59
364274,WTSP,21.08,24.38
364274,WTSP,32.63,36.27
364274,WTSP,35.68,39.11
364274,WTSP,43.93,47.04
364274,WTSP,56.86,59.6
364275,WTSP,5.3,6.8
364275,WTSP,13.89,16.64
364275,WTSP,22.53,25.68
364275,WTSP,31.23,33.88
364276,WTSP,10.98,13.86
364276,WTSP,33.75,36.88
364277,WTSP,4.39,7.69
364277,WTSP,12.39,16.5
364277,WTSP,24.33,27.91
364277,WTSP,33.06,36.44
364277,WTSP,46.45,49.39
364277,WTSP,55.68,58.46
366250,WTSP,28.58,31.79
366250,WTSP,33.39,37.54
721716,WTSP,8.23,12.69
721716,WTSP,19.64,23.8
721716,WTSP,29.5,33.44
721716,WTSP,38.01,42.12
721716,WTSP,51.33,55.26
721718,WTSP,1.59,5.28
721718,WTSP,15.51,19.45
721718,WTSP,27.11,30.99
721718,WTSP,52.35,55.73
721722,WTSP,28.2,32.33
721722,WTSP,48.09,51.95
721723,WTSP,6.78,10.38
721723,WTSP,31.65,35.64
721726,WTSP,7.5,8
721726,WTSP,36.91,41.05
722387,WTSP,35.21,38.71
722387,WTSP,38.94,42.3
722387,WTSP,43.26,47.76
722387,WTSP,51.06,54.17
722387,WTSP,57.33,60
722388,WTSP,0.01,2.44
722388,WTSP,4.49,7.7
722388,WTSP,8.65,11.83
722388,WTSP,16.41,19.34
722388,WTSP,19.36,22.09
722388,WTSP,24.68,27.84
722388,WTSP,29.21,32.42
722388,WTSP,33.14,35.95
722388,WTSP,39.1,41.91
722388,WTSP,41.98,44.62
722388,WTSP,47.59,49.78
722388,WTSP,49.85,52.29
722388,WTSP,55.95,58.23
722417,WTSP,7.69,10.58
722420,WTSP,23.45,26.76
722420,WTSP,33.5,34.5
722420,WTSP,35.39,37.64
722420,WTSP,45.86,47.72
722420,WTSP,55,58.04
722422,WTSP,12.88,15.64
722422,WTSP,29.84,32.05
722422,WTSP,54.46,57.49
722423,WTSP,0.39,2.95
722423,WTSP,3.53,6.99
722423,WTSP,19.4,22.81
722423,WTSP,29.09,33.35
722423,WTSP,41.43,45.09
722425,WTSP,1.36,5.6
722427,WTSP,2.01,5.09
722427,WTSP,29.66,33.2
722427,WTSP,49.13,53.81
722429,WTSP,3.95,7.95
722429,WTSP,11.79,14.09
722429,WTSP,13.78,17.47
722429,WTSP,24.6,27.75
722429,WTSP,35.38,39.06
722429,WTSP,39.16,42.41
722429,WTSP,45.44,48.57
722430,WTSP,9.71,11.76
722430,WTSP,12.91,16.36
722430,WTSP,23.71,27.6
722430,WTSP,32.99,35.65
722430,WTSP,37.69,41.77
722430,WTSP,47.78,51.69
722430,WTSP,52.24,55.72
722430,WTSP,55.55,59.3
722432,WTSP,6.7,9.95
722432,WTSP,43.71,47.42
722432,WTSP,56.55,59.44
722433,WTSP,11.78,14.63
722433,WTSP,21.35,25.54
722433,WTSP,31.63,34.53
722433,WTSP,43.98,46.49
722433,WTSP,54.33,57.18
722434,WTSP,6.14,10.74
722434,WTSP,20.2,23.86
722434,WTSP,39.79,43.54
722434,WTSP,55.88,59.37
722435,WTSP,8.7,12.06
722435,WTSP,20.65,24.01
722435,WTSP,50.08,54.26
722436,WTSP,0.23,2.62
722436,WTSP,15.68,18.07
722436,WTSP,38,38.5
722436,WTSP,42.91,46.39
722436,WTSP,55.99,58.83
722438,WTSP,5.93,9.01
722438,WTSP,9.2,12.83
722438,WTSP,24.79,26.52
722438,WTSP,39.58,41.86
722438,WTSP,50.23,52.47
722438,WTSP,53.15,56.29
722439,WTSP,1.19,4.19
722439,WTSP,13.46,16.55
722439,WTSP,21,21.5
722439,WTSP,31,32
722439,WTSP,42.35,45.4
722439,WTSP,47.94,50.97
722439,WTSP,54.98,57.88
722439,WTSP,57.6,59.96
722440,WTSP,4.21,7.75
722440,WTSP,9.54,12.9
722440,WTSP,13.11,16.67
722440,WTSP,22.33,25.37
722440,WTSP,24.59,28.05
722440,WTSP,36.78,39.62
722440,WTSP,39.88,42.92
722440,WTSP,47.36,50.51
722440,WTSP,50.93,54.64
722441,WTSP,36.38,40.44
722441,WTSP,42.6,46.86
722441,WTSP,49.68,53.94
722442,WTSP,0.03,2.63
722442,WTSP,2.74,6.5
722442,WTSP,13.01,16.5
722442,WTSP,14.39,17.37
722442,WTSP,23.1,26.85
722442,WTSP,25.83,29.59
722442,WTSP,33.01,36.11
722442,WTSP,39.65,43.56
722442,WTSP,44.38,48.09
722442,WTSP,53.74,57.08
722442,WTSP,56.86,59.26
722446,WTSP,5.21,10.02
722831,WTSP,29.76,32.86
722832,WTSP,50.51,55.85
722836,WTSP,26.46,30.67
722836,WTSP,34.55,39.38
722838,WTSP,5.81,8.7
722838,WTSP,10.56,14.49
722838,WTSP,10.89,14.14
722838,WTSP,16.39,19.85
722838,WTSP,21.89,27.1
722838,WTSP,23.35,26.94
722838,WTSP,29.24,32.72
722838,WTSP,33.53,36.98
722838,WTSP,33.94,37.05
722838,WTSP,38.58,42.74
722838,WTSP,38.69,41.93
722838,WTSP,42.84,46.72
722838,WTSP,44.39,47.5
722838,WTSP,49.14,52.54
722838,WTSP,50.81,54.56
722838,WTSP,55.36,58.74
722839,WTSP,1.48,4.92
722839,WTSP,1.81,5.09
722839,WTSP,4.51,7.65
722839,WTSP,8.11,12.16
722839,WTSP,9.06,11.86
722839,WTSP,11.26,14.65
722839,WTSP,15.86,19.24
722839,WTSP,18.66,21.71
722839,WTSP,20.81,24.17
722839,WTSP,25.33,28.38
