"Common name","Species code","Number of training clips","Number of evaluation detections (minutes; community)","Precision_universalthreshold (community)","Recall _universalthreshold (community)","F1score threshold (community)","Precision_F1scorethreshold (community)","Recall_F1scorethreshold (community)","Classifier with highest F1score (community)","Number of evaluation detections (calls; vocal activity)","Precision_universalthreshold (vocal activity)","Recall _universalthreshold (vocal activity)","F1score threshold (vocal activity)","Precision_F1scorethreshold (vocal activity)","Recall_F1scorethreshold (vocal activity)"
"Acadian Flycatcher","ACFL",849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alder Flycatcher","ALFL",1514,107,0.98,0.449,0.21,0.786,0.757,"HawkEars",NA,NA,NA,NA,NA,NA
"American Avocet","AMAV",1178,8,0.75,0.75,0.86,0.857,0.75,"HawkEars",NA,NA,NA,NA,NA,NA
"American Bittern","AMBI",773,31,0.625,0.161,0.56,0.467,0.226,"Perch",NA,NA,NA,NA,NA,NA
"American Coot","AMCO",899,87,1,0.161,0.09,0.515,0.575,"BirdNET",NA,NA,NA,NA,NA,NA
"American Crow","AMCR",3518,54,0.9,0.333,0.45,0.75,0.556,"HawkEars",NA,NA,NA,NA,NA,NA
"American Golden-Plover","AMGP",986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"American Goldfinch","AGOL",2083,13,0.45,0.692,0.91,1,0.538,"HawkEars",NA,NA,NA,NA,NA,NA
"American Goshawk","AGOS",1180,5,1,0.2,0.57,1,0.4,"HawkEars",NA,NA,NA,NA,NA,NA
"American Kestrel","AMKE",844,6,1,0.833,0.56,1,0.833,"BirdNET",NA,NA,NA,NA,NA,NA
"American Pipit","AMPI",776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"American Redstart","AMRE",1494,50,0.654,0.34,0.71,0.633,0.38,"BirdNET",NA,NA,NA,NA,NA,NA
"American Robin","AMRO",3340,127,0.828,0.378,0.42,0.598,0.622,"HawkEars",NA,NA,NA,NA,NA,NA
"American Three-toed Woodpecker","ATTW",1154,8,0.833,0.625,0.47,0.833,0.625,"BirdNET",NA,NA,NA,NA,NA,NA
"American Tree Sparrow","ATSP",1582,14,0.2,0.071,0.27,0.122,0.429,"BirdNET",NA,NA,NA,NA,NA,NA
"American Wigeon","AMWI",753,16,1,0.375,0.33,0.727,0.5,"HawkEars",NA,NA,NA,NA,NA,NA
"American Woodcock","AMWO",1446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anna's Hummingbird","ANHU",1611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arctic Tern","ARTE",1138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Baird's Sandpiper","BASA",959,1,1,1,0.7,1,1,"HawkEars",NA,NA,NA,NA,NA,NA
"Baird's Sparrow","BAIS",802,12,0.647,0.917,0.84,1,0.917,"HawkEars",NA,NA,NA,NA,NA,NA
"Bald Eagle","BAEA",1708,5,0.333,0.4,0.76,0.4,0.4,"BirdNET",NA,NA,NA,NA,NA,NA
"Baltimore Oriole","BAOR",1451,12,0.333,0.333,0.85,0.6,0.25,"HawkEars",NA,NA,NA,NA,NA,NA
"Bank Swallow","BANS",651,10,1,0.1,0.29,0.462,0.6,"HawkEars",NA,NA,NA,NA,NA,NA
"Barn Owl","BANO",637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Barn Swallow","BARS",1087,11,0.727,0.727,0.86,1,0.727,"HawkEars",NA,NA,NA,NA,NA,NA
"Barred Owl","BADO",948,11,0.75,0.273,0.57,0.8,0.364,"HawkEars",105,1,0.354,0.681,0.825,0.579
"Bay-breasted Warbler","BBWA",740,22,0.824,0.636,0.65,0.833,0.682,"HawkEars",NA,NA,NA,NA,NA,NA
"Bell's Vireo","BEVI",1228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belted Kingfisher","BEKI",680,10,0.5,0.1,0.56,0.75,0.3,"HawkEars",NA,NA,NA,NA,NA,NA
"Bewick's Wren","BEWR",3184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Black Tern","BLTE",1298,61,0.963,0.426,0.29,0.846,0.721,"HawkEars",NA,NA,NA,NA,NA,NA
"Black-and-white Warbler","BAWW",1480,22,0.842,0.727,0.84,1,0.727,"HawkEars",NA,NA,NA,NA,NA,NA
"Black-backed Woodpecker","BBWO",1225,8,0,0,0.15,0.143,0.75,"BirdNET",NA,NA,NA,NA,NA,NA
"Black-bellied Plover","BBPL",1330,1,0,0,0.01,0,0,NA,NA,NA,NA,NA,NA,NA
"Black-billed Cuckoo","BBCU",780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Black-billed Magpie","BBMA",823,17,1,0.294,0.47,1,0.353,"BirdNET",NA,NA,NA,NA,NA,NA
"Black-capped Chickadee","BCCH",3264,17,0.209,0.529,0.82,0.304,0.412,"HawkEars",NA,NA,NA,NA,NA,NA
"Black-crowned Night Heron","BCNH",490,1,1,1,0.51,1,1,"HawkEars",NA,NA,NA,NA,NA,NA
"Black-headed Grosbeak","BHGR",2439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Black-throated Blue Warbler","BTBW",1031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Black-throated Gray Warbler","BTGW",954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Black-throated Green Warbler","BTNW",1316,17,0.818,0.529,0.46,0.652,0.882,"HawkEars",1547,0.855,0.555,0.686,0.804,0.598
"Blackburnian Warbler","BLBW",847,10,0.833,0.5,0.54,0.8,0.8,"HawkEars",NA,NA,NA,NA,NA,NA
"Blackpoll Warbler","BLPW",944,16,0.5,0.312,0.82,0.714,0.312,"HawkEars",NA,NA,NA,NA,NA,NA
"Blue Jay","BLJA",2136,10,0.364,0.4,0.82,0.75,0.3,"HawkEars",NA,NA,NA,NA,NA,NA
"Blue-gray Gnatcatcher","BGGN",1732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blue-headed Vireo","BHVI",1644,15,0.333,0.333,0.83,0.455,0.333,"BirdNET",NA,NA,NA,NA,NA,NA
"Blue-winged Teal","BWTE",840,18,0.833,0.278,0.53,0.75,0.333,"HawkEars",NA,NA,NA,NA,NA,NA
