"species","minutes","precision_universal","recall_universal","threshold_fscore","precision_fscore","recall_fscore"
"AGOL",13,0.45,0.692307692307692,0.91,1,0.538461538461538
"AGOS",5,1,0.2,0.57,1,0.4
"ALFL",107,0.979591836734694,0.448598130841121,0.21,0.786407766990291,0.757009345794392
"AMAV",8,0.75,0.75,0.86,0.857142857142857,0.75
"AMBI",31,0.625,0.161290322580645,0.56,0.466666666666667,0.225806451612903
"AMCO",87,1,0.160919540229885,0.09,0.515463917525773,0.574712643678161
"AMCR",54,0.9,0.333333333333333,0.45,0.75,0.555555555555556
"AMGP",0,NA,NA,0.01,0,NA
"AMKE",6,1,0.833333333333333,0.56,1,0.833333333333333
"AMPI",0,NA,NA,0.01,0,NA
"AMRE",50,0.653846153846154,0.34,0.71,0.633333333333333,0.38
"AMRO",127,0.827586206896552,0.377952755905512,0.42,0.598484848484849,0.622047244094488
"AMWI",16,1,0.375,0.33,0.727272727272727,0.5
"ANHU",0,NA,NA,0.01,0,NA
"ARTE",0,NA,NA,0.01,0,NA
"ATSP",14,0.2,0.0714285714285714,0.27,0.122448979591837,0.428571428571429
"ATTW",8,0.833333333333333,0.625,0.47,0.833333333333333,0.625
"BADO",11,0.75,0.272727272727273,0.57,0.8,0.363636363636364
"BAEA",5,0.333333333333333,0.4,0.76,0.4,0.4
"BAIS",12,0.647058823529412,0.916666666666667,0.84,1,0.916666666666667
"BANS",10,1,0.1,0.29,0.461538461538462,0.6
"BAOR",12,0.333333333333333,0.333333333333333,0.85,0.6,0.25
"BARS",11,0.727272727272727,0.727272727272727,0.86,1,0.727272727272727
"BASA",1,1,1,0.7,1,1
"BAWW",22,0.842105263157895,0.727272727272727,0.84,1,0.727272727272727
"BBCU",0,NA,NA,0.01,0,NA
"BBMA",17,1,0.294117647058824,0.47,1,0.352941176470588
"BBPL",1,0,0,0.01,0,0
"BBWA",22,0.823529411764706,0.636363636363636,0.65,0.833333333333333,0.681818181818182
"BBWO",8,0,0,0.15,0.142857142857143,0.75
"BCCH",17,0.209302325581395,0.529411764705882,0.82,0.304347826086957,0.411764705882353
"BCNH",1,1,1,0.51,1,1
"BEKI",10,0.5,0.1,0.56,0.75,0.3
"BHCO",38,0.869565217391304,0.526315789473684,0.73,0.875,0.552631578947368
"BHGR",0,0,NA,0.01,0,NA
"BHVI",15,0.333333333333333,0.333333333333333,0.83,0.454545454545455,0.333333333333333
"BLBW",10,0.833333333333333,0.5,0.54,0.8,0.8
"BLJA",10,0.363636363636364,0.4,0.82,0.75,0.3
"BLPW",16,0.5,0.3125,0.82,0.714285714285714,0.3125
"BLTE",61,0.962962962962963,0.426229508196721,0.29,0.846153846153846,0.721311475409836
"BOBO",12,0.857142857142857,0.5,0.64,0.777777777777778,0.583333333333333
"BOCH",13,0.857142857142857,0.461538461538462,0.72,0.8,0.615384615384615
"BOGU",26,0.833333333333333,0.192307692307692,0.25,0.424242424242424,0.538461538461538
"BOOW",10,NA,0,0.01,0,0
"BOWA",10,0.666666666666667,0.2,0.88,1,0.2
"BRBL",9,0.6,0.666666666666667,0.7,0.6,0.666666666666667
"BRCR",21,0.705882352941177,0.571428571428571,0.77,0.75,0.571428571428571
"BRSP",0,0,NA,0.01,0,NA
"BRTH",3,0.25,0.333333333333333,0.85,1,0.333333333333333
"BTBW",0,0,NA,0.01,0,NA
"BTNW",17,0.818181818181818,0.529411764705882,0.46,0.652173913043478,0.882352941176471
"BUFF",6,0.5,0.166666666666667,0.7,0.666666666666667,0.333333333333333
"BWHA",8,0.833333333333333,0.625,0.82,1,0.625
"BWTE",18,0.833333333333333,0.277777777777778,0.53,0.75,0.333333333333333
"CAGU",0,0,NA,0.01,0,NA
"CAJA",58,0.833333333333333,0.0862068965517241,0.14,0.30188679245283,0.275862068965517
"CANG",55,0.958333333333333,0.418181818181818,0.57,0.896551724137931,0.472727272727273
"CATE",0,NA,NA,0.01,0,NA
"CAVI",0,NA,NA,0.01,0,NA
"CAWA",14,0.833333333333333,0.357142857142857,0.58,0.7,0.5
"CCLO",3,NA,0,0.19,0.0909090909090909,1
"CCSP",112,0.905660377358491,0.428571428571429,0.52,0.849315068493151,0.553571428571429
"CEDW",19,0.75,0.473684210526316,0.69,0.769230769230769,0.526315789473684
"CHSP",154,0.929577464788732,0.428571428571429,0.63,0.819148936170213,0.5
"CLNU",0,NA,NA,0.01,0,NA
"CLSW",0,0,NA,0.01,0,NA
"CMWA",24,0.923076923076923,0.5,0.74,0.923076923076923,0.5
"COGO",0,0,NA,0.01,0,NA
"COGR",12,0.555555555555556,0.416666666666667,0.62,0.571428571428571,0.666666666666667
"COHA",0,NA,NA,0.01,0,NA
"COLO",34,0.909090909090909,0.294117647058824,0.25,0.791666666666667,0.558823529411765
"COME",1,NA,0,0.02,0.0023696682464455,1
"CONI",13,1,0.461538461538462,0.57,1,0.538461538461538
"CONW",20,1,0.65,0.64,1,0.65
"COPO",0,NA,NA,0.01,0,NA
"CORA",42,0.705882352941177,0.285714285714286,0.68,0.636363636363636,0.333333333333333
"CORE",4,0,0,0.12,0.0238095238095238,0.75
"COTE",10,NA,0,0.26,0.307692307692308,0.4
"COYE",115,0.987012987012987,0.660869565217391,0.58,0.918367346938776,0.782608695652174
"CSWA",1,0.333333333333333,1,0.79,1,1
"DCCO",0,0,NA,0.01,0,NA
"DEJU",91,0.588235294117647,0.43956043956044,0.54,0.431372549019608,0.725274725274725
"DICK",0,NA,NA,0.01,0,NA
"DOWO",9,NA,0,0.6,1,0.111111111111111
"DUFL",13,1,0.846153846153846,0.73,1,0.846153846153846
"DUNL",0,NA,NA,0.01,0,NA
"EABL",0,0,NA,0.01,0,NA
"EAGR",13,0.666666666666667,0.461538461538462,0.79,0.75,0.461538461538462
"EAKI",22,0.941176470588235,0.727272727272727,0.83,1,0.727272727272727
"EAPH",9,1,0.333333333333333,0.75,1,0.333333333333333
"EASO",0,NA,NA,0.01,0,NA
"EUCD",0,NA,NA,0.01,0,NA
"EUST",0,0,NA,0.01,0,NA
"EVGR",9,0.4,0.222222222222222,0.68,0.375,0.333333333333333
"FISP",0,NA,NA,0.01,0,NA
"FOSP",12,0.625,0.416666666666667,0.53,0.666666666666667,0.666666666666667
"FOTE",15,1,0.4,0.24,0.555555555555556,0.666666666666667
"FRGU",12,0.6,0.25,0.17,0.421052631578947,0.666666666666667
"GADW",12,1,0.25,0.65,1,0.333333333333333
"GBHE",4,1,0.5,0.74,1,0.5
"GCFL",0,NA,NA,0.01,0,NA
