"threshold","precision","recall","f1score","f5score","f25score","species","classifier"
0.05,0.938744257274119,0.313501534265257,0.470031948881789,0.671069916800467,0.840177371674281,"BADO","BirdNET"
0.06,0.938744257274119,0.313501534265257,0.470031948881789,0.671069916800467,0.840177371674281,"BADO","BirdNET"
0.07,0.968404423380727,0.313501534265257,0.473663876368319,0.683033724558015,0.862427586206897,"BADO","BirdNET"
0.08,0.966480446927374,0.294919877258779,0.451933124346918,0.664056502379856,0.852315539326494,"BADO","BirdNET"
0.09,0.965253648366922,0.284145925673372,0.439047518701928,0.652459837785363,0.845970120735159,"BADO","BirdNET"
0.1,1,0.273917490623935,0.430039610320094,0.65353203397,0.865107617467094,"BADO","BirdNET"
0.11,1,0.273917490623935,0.430039610320094,0.65353203397,0.865107617467094,"BADO","BirdNET"
0.12,1,0.273917490623935,0.430039610320094,0.65353203397,0.865107617467094,"BADO","BirdNET"
0.13,1,0.273917490623935,0.430039610320094,0.65353203397,0.865107617467094,"BADO","BirdNET"
0.14,1,0.273917490623935,0.430039610320094,0.65353203397,0.865107617467094,"BADO","BirdNET"
0.15,1,0.273917490623935,0.430039610320094,0.65353203397,0.865107617467094,"BADO","BirdNET"
0.16,1,0.273917490623935,0.430039610320094,0.65353203397,0.865107617467094,"BADO","BirdNET"
0.17,1,0.273917490623935,0.430039610320094,0.65353203397,0.865107617467094,"BADO","BirdNET"
0.18,1,0.273917490623935,0.430039610320094,0.65353203397,0.865107617467094,"BADO","BirdNET"
0.19,1,0.273917490623935,0.430039610320094,0.65353203397,0.865107617467094,"BADO","BirdNET"
0.2,1,0.273917490623935,0.430039610320094,0.65353203397,0.865107617467094,"BADO","BirdNET"
0.21,1,0.273917490623935,0.430039610320094,0.65353203397,0.865107617467094,"BADO","BirdNET"
0.22,1,0.273917490623935,0.430039610320094,0.65353203397,0.865107617467094,"BADO","BirdNET"
0.23,1,0.273917490623935,0.430039610320094,0.65353203397,0.865107617467094,"BADO","BirdNET"
0.24,1,0.263757245141493,0.417417579452868,0.641736071938149,0.858960458767129,"BADO","BirdNET"
0.25,1,0.263757245141493,0.417417579452868,0.641736071938149,0.858960458767129,"BADO","BirdNET"
0.26,1,0.263757245141493,0.417417579452868,0.641736071938149,0.858960458767129,"BADO","BirdNET"
0.27,1,0.249948857824753,0.399934535337279,0.624936065741467,0.849965217628524,"BADO","BirdNET"
0.28,1,0.249948857824753,0.399934535337279,0.624936065741467,0.849965217628524,"BADO","BirdNET"
0.29,1,0.234265257415615,0.37960277340405,0.604692505368395,0.838733071963006,"BADO","BirdNET"
0.3,1,0.234265257415615,0.37960277340405,0.604692505368395,0.838733071963006,"BADO","BirdNET"
0.31,1,0.234265257415615,0.37960277340405,0.604692505368395,0.838733071963006,"BADO","BirdNET"
0.32,1,0.234265257415615,0.37960277340405,0.604692505368395,0.838733071963006,"BADO","BirdNET"
0.33,1,0.234265257415615,0.37960277340405,0.604692505368395,0.838733071963006,"BADO","BirdNET"
0.34,1,0.223150357995227,0.364878048780488,0.58953341740227,0.830026109660574,"BADO","BirdNET"
0.35,1,0.223150357995227,0.364878048780488,0.58953341740227,0.830026109660574,"BADO","BirdNET"
0.36,1,0.223150357995227,0.364878048780488,0.58953341740227,0.830026109660574,"BADO","BirdNET"
0.37,1,0.223150357995227,0.364878048780488,0.58953341740227,0.830026109660574,"BADO","BirdNET"
0.38,1,0.223150357995227,0.364878048780488,0.58953341740227,0.830026109660574,"BADO","BirdNET"
0.39,1,0.223150357995227,0.364878048780488,0.58953341740227,0.830026109660574,"BADO","BirdNET"
0.4,1,0.212990112512786,0.351181943390393,0.575039581722449,0.821452329017187,"BADO","BirdNET"
0.41,1,0.212990112512786,0.351181943390393,0.575039581722449,0.821452329017187,"BADO","BirdNET"
0.42,1,0.212990112512786,0.351181943390393,0.575039581722449,0.821452329017187,"BADO","BirdNET"
0.43,1,0.212990112512786,0.351181943390393,0.575039581722449,0.821452329017187,"BADO","BirdNET"
0.44,1,0.212990112512786,0.351181943390393,0.575039581722449,0.821452329017187,"BADO","BirdNET"
0.45,1,0.212990112512786,0.351181943390393,0.575039581722449,0.821452329017187,"BADO","BirdNET"
0.46,1,0.212990112512786,0.351181943390393,0.575039581722449,0.821452329017187,"BADO","BirdNET"
0.47,1,0.212990112512786,0.351181943390393,0.575039581722449,0.821452329017187,"BADO","BirdNET"
0.48,1,0.20054551653597,0.334090650914461,0.556396382761361,0.810048443803568,"BADO","BirdNET"
0.49,1,0.20054551653597,0.334090650914461,0.556396382761361,0.810048443803568,"BADO","BirdNET"
0.5,1,0.178077054210706,0.302318177871676,0.519991238899287,0.786470973799359,"BADO","BirdNET"
0.51,1,0.172792362768496,0.294668294668295,0.510866497318657,0.780271332572588,"BADO","BirdNET"
0.52,1,0.161916126832595,0.278705361072802,0.491350411786616,0.766593235467269,"BADO","BirdNET"
0.53,1,0.161916126832595,0.278705361072802,0.491350411786616,0.766593235467269,"BADO","BirdNET"
0.54,1,0.151073985680191,0.262492224756376,0.470842011306159,0.751571448526331,"BADO","BirdNET"
0.55,1,0.139720422775315,0.245183678353476,0.448143125847513,0.734114522961496,"BADO","BirdNET"
0.56,1,0.139720422775315,0.245183678353476,0.448143125847513,0.734114522961496,"BADO","BirdNET"
0.57,1,0.139720422775315,0.245183678353476,0.448143125847513,0.734114522961496,"BADO","BirdNET"
0.58,1,0.139720422775315,0.245183678353476,0.448143125847513,0.734114522961496,"BADO","BirdNET"
0.59,1,0.139720422775315,0.245183678353476,0.448143125847513,0.734114522961496,"BADO","BirdNET"
0.6,1,0.139720422775315,0.245183678353476,0.448143125847513,0.734114522961496,"BADO","BirdNET"
0.61,1,0.139720422775315,0.245183678353476,0.448143125847513,0.734114522961496,"BADO","BirdNET"
